"LevelNumber","ServiceInitialHasTimeLimit","ServiceInitialTimeLimit","ServiceInitialRevision","ServiceActualHasTimeLimit","ServiceActualTimeLimit","ServiceActualRevision","LevelAssetPrimaryHasTimeLimit","LevelAssetPrimaryTimeLimit","LevelAssetSecondaryHasTimeLimit","LevelAssetSecondaryTimeLimit","InitialMatchesSecondary","InitialMatchesPrimary","ActualMatchesPrimary","ActualMatchesSecondary","LevelAssetPath"
"107","1","115","4","1","122","3","1","110","1","115","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 107.asset"
"108","1","80","3","1","87","2","1","80","1","80","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 108.asset"
"110","1","55","4","1","79","3","1","55","1","55","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 110.asset"
"111","1","60","3","1","63","2","1","60","1","60","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 111.asset"
"113","1","100","3","1","108","2","1","100","1","100","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 113.asset"
"114","1","115","3","1","122","2","1","115","1","115","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 114.asset"
"115","1","195","3","1","194","2","1","200","1","195","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 115.asset"
"116","1","50","3","1","53","2","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 116.asset"
"117","1","110","3","1","111","2","1","110","1","110","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 117.asset"
"118","1","105","3","1","112","2","1","105","1","105","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 118.asset"
"119","1","185","2","1","179","1","1","200","1","185","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 119.asset"
"120","1","65","3","1","68","2","1","65","1","65","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 120.asset"
"121","1","60","3","1","92","2","1","40","1","60","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 121.asset"
"122","1","50","3","1","53","2","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 122.asset"
"123","1","120","3","1","133","2","1","120","1","120","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 123.asset"
"124","1","55","3","1","63","2","1","55","1","55","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 124.asset"
"125","1","150","2","1","138","1","1","180","1","150","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 125.asset"
"127","1","125","3","1","124","2","1","125","1","125","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 127.asset"
"128","1","100","3","1","111","2","1","100","1","100","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 128.asset"
"129","1","280","3","1","299","2","1","260","1","280","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 129.asset"
"130","1","100","3","1","106","2","1","100","1","100","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 130.asset"
"132","1","50","3","1","51","2","1","40","1","50","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 132.asset"
"133","1","140","3","1","145","2","1","140","1","140","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 133.asset"
"134","1","50","3","1","53","2","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 134.asset"
"135","1","210","2","1","204","1","1","225","1","210","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 135.asset"
"136","1","120","3","1","128","2","1","120","1","120","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 136.asset"
"137","1","125","3","1","134","2","1","125","1","125","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 137.asset"
"138","1","140","3","1","147","2","1","140","1","140","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 138.asset"
"139","1","205","4","1","198","3","1","215","1","205","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 139.asset"
"140","1","50","3","1","51","2","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 140.asset"
"141","1","55","3","1","59","2","1","55","1","55","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 141.asset"
"142","1","50","3","1","57","2","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 142.asset"
"143","1","115","3","1","126","2","1","115","1","115","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 143.asset"
"144","1","150","3","1","159","2","1","145","1","150","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 144.asset"
"145","1","175","4","1","171","3","1","180","1","175","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 145.asset"
"146","1","150","3","1","165","2","1","150","1","150","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 146.asset"
"147","1","145","3","1","154","2","1","145","1","145","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 147.asset"
"148","1","125","3","1","135","2","1","150","1","125","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 148.asset"
"149","1","140","4","1","152","3","1","140","1","140","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 149.asset"
"150","1","120","3","1","126","2","1","110","1","120","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 150.asset"
"151","1","50","3","1","72","2","1","40","1","50","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 151.asset"
"153","1","125","3","1","135","2","1","120","1","125","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 153.asset"
"154","1","125","3","1","132","2","1","125","1","125","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 154.asset"
"156","1","190","3","1","202","2","1","190","1","190","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 156.asset"
"157","1","160","3","1","168","2","1","155","1","160","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 157.asset"
"158","1","95","3","1","102","2","1","95","1","95","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 158.asset"
"159","1","185","3","1","214","2","1","140","1","185","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 159.asset"
"160","1","55","3","1","59","2","1","55","1","55","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 160.asset"
"161","1","50","3","1","57","2","1","50","1","50","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 161.asset"
"162","1","55","3","1","60","2","1","55","1","55","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 162.asset"
"163","1","150","3","1","159","2","1","145","1","150","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 163.asset"
"164","1","145","3","1","154","2","1","140","1","145","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 164.asset"
"165","1","135","3","1","138","2","1","135","1","135","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 165.asset"
"167","1","110","3","1","112","2","1","110","1","110","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 167.asset"
"168","1","90","3","1","93","2","1","90","1","90","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 168.asset"
"170","1","55","3","1","62","2","1","55","1","55","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 170.asset"
"171","1","60","3","1","64","2","1","60","1","60","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 171.asset"
"172","1","75","3","1","81","2","1","75","1","75","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 172.asset"
"173","1","110","3","1","118","2","1","110","1","110","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 173.asset"
"174","1","115","3","1","122","2","1","115","1","115","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 174.asset"
"176","1","65","3","1","74","2","1","65","1","65","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 176.asset"
"177","1","105","3","1","115","2","1","95","1","105","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 177.asset"
"178","1","125","3","1","136","2","1","115","1","125","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 178.asset"
"179","1","145","2","1","138","1","1","155","1","145","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 179.asset"
"180","1","65","3","1","70","2","1","65","1","65","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 180.asset"
"181","1","55","3","1","62","2","1","55","1","55","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 181.asset"
"182","1","80","3","1","86","2","1","80","1","80","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 182.asset"
"183","1","100","3","1","109","2","1","100","1","100","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 183.asset"
"184","1","100","3","1","113","2","1","90","1","100","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 184.asset"
"185","1","190","2","1","179","1","1","200","1","190","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 185.asset"
"186","1","85","3","1","95","2","1","85","1","85","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 186.asset"
"187","1","115","3","1","126","2","1","115","1","115","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 187.asset"
"188","1","125","3","1","135","2","1","125","1","125","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 188.asset"
"189","1","155","4","1","169","3","1","150","1","155","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 189.asset"
"191","1","105","3","1","115","2","1","100","1","105","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 191.asset"
"192","1","105","3","1","120","2","1","105","1","105","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 192.asset"
"193","1","75","3","1","86","2","1","75","1","75","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 193.asset"
"194","1","125","3","1","135","2","1","125","1","125","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 194.asset"
"195","1","195","3","1","202","2","1","195","1","195","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 195.asset"
"196","1","100","3","1","109","2","1","95","1","100","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 196.asset"
"197","1","115","3","1","126","2","1","105","1","115","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 197.asset"
"198","1","135","3","1","144","2","1","130","1","135","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 198.asset"
"199","1","125","4","1","140","3","1","115","1","125","True","False","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 199.asset"
"200","1","75","3","1","82","2","1","75","1","75","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 200.asset"
"614","1","60","4","1","145","3","1","60","1","60","True","True","False","False","D:\Tool\Twisted Tangle\ExportedProject\Assets\Resources\levels\so\Level 614.asset"
